,Listening,Artist_x,Genre_x,Song,Artist_y,Genre_y
0,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
1,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
2,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
3,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
4,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
5,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
6,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
7,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
8,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
9,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
10,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
11,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
12,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
13,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
14,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
15,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
16,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
17,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
18,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
19,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
20,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
21,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
22,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
23,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
24,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
25,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
26,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
27,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
28,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
29,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
30,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
31,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
32,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
33,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
34,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
35,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
36,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
37,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
38,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
39,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
40,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
41,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
42,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
43,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
44,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
45,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
46,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
47,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
48,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
49,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
50,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
51,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
52,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
53,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
54,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
55,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
56,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
57,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
58,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
59,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
60,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
61,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
62,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
63,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
64,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
65,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
66,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
67,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
68,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
69,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
70,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
71,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
72,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
73,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
74,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
75,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
76,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
77,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
78,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
79,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
80,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
81,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
82,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
83,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
84,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
85,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
86,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
87,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
88,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
89,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
90,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
91,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
92,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
93,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
94,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
95,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
96,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
97,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
98,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
99,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
100,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
101,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
102,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
103,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
104,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
105,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
106,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
107,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
108,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
109,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
110,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
111,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
112,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
113,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
114,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
115,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
116,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
117,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
118,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
119,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
120,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
121,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
122,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
123,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
124,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
125,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
126,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
127,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
128,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
129,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
130,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
131,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
132,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
133,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
134,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
135,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
136,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
137,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
138,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
139,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
140,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
141,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
142,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
143,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
144,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
145,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
146,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
147,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
148,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
149,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
150,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
151,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
152,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
153,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
154,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
155,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
156,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
157,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
158,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
159,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
160,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
161,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
162,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
163,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
164,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
165,A modern electronic September,Weezer,Rap,A modern electronic September,Weezer,Rap
