Listening To Id,Listening To Song,Artist,Genre,Recommended Id,Recommended Song,Artist,Genre
1,festivity Sky,Shakira,Surf,37,THAT'S lights,Fall Out Boy,Dance
1,festivity Sky,Shakira,Surf,18,Is this soul,Green Day,Surf
1,festivity Sky,Shakira,Surf,14,nirvana Legend,Guns N Roses,Rap
1,festivity Sky,Shakira,Surf,1,festivity Sky,Shakira,Surf
1,festivity Sky,Shakira,Surf,39,Interstellar World,David Bowie,Rap
1,festivity Sky,Shakira,Surf,16,big Dream,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,30,next stars,OneRepublic,Surf
1,festivity Sky,Shakira,Surf,5,mystical Surprise 2,OneRepublic,Dance
1,festivity Sky,Shakira,Surf,16,big Dream,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,18,Is this soul,Green Day,Surf
1,festivity Sky,Shakira,Surf,34,come around with Sunset,David Bowie,Surf
1,festivity Sky,Shakira,Surf,12,be calm with Gift,Guns N Roses,Hip-Hop
1,festivity Sky,Shakira,Surf,8,automatic Childhood,Malvadao,Surf
1,festivity Sky,Shakira,Surf,13,spring train,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,49,golden Parranda,David Bowie,Rap
1,festivity Sky,Shakira,Surf,13,spring train,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,15,repose Love,ACDC,Rap
1,festivity Sky,Shakira,Surf,18,Is this soul,Green Day,Surf
1,festivity Sky,Shakira,Surf,17,Belong To Limit,Kiss,Rap
1,festivity Sky,Shakira,Surf,20,Is this Images,Kiss,Dance
1,festivity Sky,Shakira,Surf,48,forever Machine,David Bowie,Surf
1,festivity Sky,Shakira,Surf,16,big Dream,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,38,lone Tears,Weezer,Rap
1,festivity Sky,Shakira,Surf,34,come around with Sunset,David Bowie,Surf
1,festivity Sky,Shakira,Surf,47,Running crash,OneRepublic,Surf
1,festivity Sky,Shakira,Surf,33,accoustic Midnight,Malvadao,Dance
1,festivity Sky,Shakira,Surf,43,Tropical midnight,Bastille,Surf
1,festivity Sky,Shakira,Surf,1,festivity Sky,Shakira,Surf
1,festivity Sky,Shakira,Surf,35,Flowers For sun,David Bowie,Hip-Hop
1,festivity Sky,Shakira,Surf,44,flowers in Affair,Kiss,Hip-Hop
1,festivity Sky,Shakira,Surf,8,automatic Childhood,Malvadao,Surf
1,festivity Sky,Shakira,Surf,29,heavy ballad,Green Day,Surf
1,festivity Sky,Shakira,Surf,32,space for control,Kiss,Rap
1,festivity Sky,Shakira,Surf,9,luxuriate July,Guns N Roses,Rap
1,festivity Sky,Shakira,Surf,24,what about Gamble,Bastille,Accoustic
1,festivity Sky,Shakira,Surf,8,automatic Childhood,Malvadao,Surf
1,festivity Sky,Shakira,Surf,25,colors of move,Fall Out Boy,Accoustic
1,festivity Sky,Shakira,Surf,23,WILD power,Roberto Carlos,Hip-Hop
1,festivity Sky,Shakira,Surf,1,festivity Sky,Shakira,Surf
1,festivity Sky,Shakira,Surf,29,heavy ballad,Green Day,Surf
1,festivity Sky,Shakira,Surf,1,festivity Sky,Shakira,Surf
1,festivity Sky,Shakira,Surf,33,accoustic Midnight,Malvadao,Dance
1,festivity Sky,Shakira,Surf,28,into yesterday,The Strokes,Accoustic
1,festivity Sky,Shakira,Surf,48,forever Machine,David Bowie,Surf
1,festivity Sky,Shakira,Surf,16,big Dream,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,14,nirvana Legend,Guns N Roses,Rap
1,festivity Sky,Shakira,Surf,13,spring train,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,18,Is this soul,Green Day,Surf
1,festivity Sky,Shakira,Surf,21,instrumental house,Anita,Accoustic
1,festivity Sky,Shakira,Surf,10,cold Memories,The Script,Dance
1,festivity Sky,Shakira,Surf,47,Running crash,OneRepublic,Surf
1,festivity Sky,Shakira,Surf,8,automatic Childhood,Malvadao,Surf
1,festivity Sky,Shakira,Surf,35,Flowers For sun,David Bowie,Hip-Hop
1,festivity Sky,Shakira,Surf,25,colors of move,Fall Out Boy,Accoustic
1,festivity Sky,Shakira,Surf,36,Chains Of ballad,Anita,Surf
1,festivity Sky,Shakira,Surf,29,heavy ballad,Green Day,Surf
1,festivity Sky,Shakira,Surf,13,spring train,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,34,come around with Sunset,David Bowie,Surf
1,festivity Sky,Shakira,Surf,1,festivity Sky,Shakira,Surf
1,festivity Sky,Shakira,Surf,15,repose Love,ACDC,Rap
1,festivity Sky,Shakira,Surf,30,next stars,OneRepublic,Surf
1,festivity Sky,Shakira,Surf,40,golden Voice,Guns N Roses,Rap
1,festivity Sky,Shakira,Surf,36,Chains Of ballad,Anita,Surf
1,festivity Sky,Shakira,Surf,16,big Dream,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,11,unique heartache,Fall Out Boy,Accoustic
1,festivity Sky,Shakira,Surf,41,quiet relaxation,Red Hot Chilli Peppers,Accoustic
1,festivity Sky,Shakira,Surf,8,automatic Childhood,Malvadao,Surf
1,festivity Sky,Shakira,Surf,19,Cool for the Moves,Kiss,Accoustic
1,festivity Sky,Shakira,Surf,10,cold Memories,The Script,Dance
1,festivity Sky,Shakira,Surf,48,forever Machine,David Bowie,Surf
1,festivity Sky,Shakira,Surf,16,big Dream,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,45,super Gamble,ACDC,Surf
1,festivity Sky,Shakira,Surf,2,more Jam,The Killers,Accoustic
1,festivity Sky,Shakira,Surf,37,THAT'S lights,Fall Out Boy,Dance
1,festivity Sky,Shakira,Surf,16,big Dream,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,30,next stars,OneRepublic,Surf
1,festivity Sky,Shakira,Surf,9,luxuriate July,Guns N Roses,Rap
1,festivity Sky,Shakira,Surf,47,Running crash,OneRepublic,Surf
1,festivity Sky,Shakira,Surf,43,Tropical midnight,Bastille,Surf
1,festivity Sky,Shakira,Surf,25,colors of move,Fall Out Boy,Accoustic
1,festivity Sky,Shakira,Surf,1,festivity Sky,Shakira,Surf
1,festivity Sky,Shakira,Surf,6,Flowers For Spirit,Fall Out Boy,Rap
1,festivity Sky,Shakira,Surf,45,super Gamble,ACDC,Surf
1,festivity Sky,Shakira,Surf,29,heavy ballad,Green Day,Surf
1,festivity Sky,Shakira,Surf,1,festivity Sky,Shakira,Surf
1,festivity Sky,Shakira,Surf,16,big Dream,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,1,festivity Sky,Shakira,Surf
1,festivity Sky,Shakira,Surf,16,big Dream,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,34,come around with Sunset,David Bowie,Surf
1,festivity Sky,Shakira,Surf,13,spring train,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,12,be calm with Gift,Guns N Roses,Hip-Hop
1,festivity Sky,Shakira,Surf,13,spring train,Guns N Roses,Surf
1,festivity Sky,Shakira,Surf,29,heavy ballad,Green Day,Surf
1,festivity Sky,Shakira,Surf,40,golden Voice,Guns N Roses,Rap
1,festivity Sky,Shakira,Surf,43,Tropical midnight,Bastille,Surf
1,festivity Sky,Shakira,Surf,49,golden Parranda,David Bowie,Rap
